CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0800901001,08009,001,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2017,15686,44855,33.8,2.6
0800901001,08009,001,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2016,14609,41804,35.2,2.3
0800901001,08009,001,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2015,14593,41546,37,2.4
0801401001,08014,001,01,014,08,09,0801401,08014,Barcelona,Cataluña,ES,5,1,1,Aiguafreda,2018,14442,35917,26.8,2.1
0801401001,08014,001,01,014,08,09,0801401,08014,Barcelona,Cataluña,ES,5,1,1,Aiguafreda,2017,13863,34366,28.1,2.1
0801401001,08014,001,01,014,08,09,0801401,08014,Barcelona,Cataluña,ES,5,1,1,Aiguafreda,2016,13234,33503,28.3,2.3
0801401001,08014,001,01,014,08,09,0801401,08014,Barcelona,Cataluña,ES,5,1,1,Aiguafreda,2015,12839,32721,29.6,2.4
0800401001,08004,001,01,004,08,09,0800401,08004,Barcelona,Cataluña,ES,5,1,1,Alpens,2018,15193,35361,30.9,2.7
0800401001,08004,001,01,004,08,09,0800401,08004,Barcelona,Cataluña,ES,5,1,1,Alpens,2017,14399,34583,33.2,2.5
0800401001,08004,001,01,004,08,09,0800401,08004,Barcelona,Cataluña,ES,5,1,1,Alpens,2016,13627,32991,36.4,3.3
0800401001,08004,001,01,004,08,09,0800401,08004,Barcelona,Cataluña,ES,5,1,1,Alpens,2015,13081,31054,36,2.9
0800101001,08001,001,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2018,13821,35509,24.7,2.2
0800101001,08001,001,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2017,13380,34438,26.6,2.4
0800101001,08001,001,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,12551,33565,25.9,2.2
0800101001,08001,001,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,12385,33178,26.9,2.3
0800101003,08001,003,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2018,15891,48386,24.7,2.1
0800101003,08001,003,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2017,15283,45850,25.6,2.1
0800101003,08001,003,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,15069,44707,25.9,2.1
0800101003,08001,003,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,14053,41841,27.7,2.2
0800301004,08003,004,01,003,08,09,0800301,08003,Barcelona,Cataluña,ES,5,1,1,Alella,2018,21020,63177,36.4,2.9
0800301004,08003,004,01,003,08,09,0800301,08003,Barcelona,Cataluña,ES,5,1,1,Alella,2017,19079,56431,36.6,2.9
0800301004,08003,004,01,003,08,09,0800301,08003,Barcelona,Cataluña,ES,5,1,1,Alella,2016,18456,55015,36.3,2.9
0800301004,08003,004,01,003,08,09,0800301,08003,Barcelona,Cataluña,ES,5,1,1,Alella,2015,18660,56056,36.5,2.9
0800901005,08009,005,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2018,16062,48542,28.1,2.3
0800901005,08009,005,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2017,15049,45732,28.5,2.6
0800901005,08009,005,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2016,14685,44341,30.5,2.7
0800901005,08009,005,01,009,08,09,0800901,08009,Barcelona,Cataluña,ES,5,1,1,Argentona,2015,14343,42753,29.5,2.6
0801002003,08010,003,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2018,13694,37014,26.4,2.1
0801002003,08010,003,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2017,13268,35673,26.2,2.3
0801002003,08010,003,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2016,13104,35555,25.9,2.3
0801002003,08010,003,02,010,08,09,0801002,08010,Barcelona,Cataluña,ES,5,1,1,Artés,2015,12183,33044,27.4,2.4
0801201001,08012,001,01,012,08,09,0801201,08012,Barcelona,Cataluña,ES,5,1,1,Avinyó,2018,13250,34702,24.4,2.1
0801201001,08012,001,01,012,08,09,0801201,08012,Barcelona,Cataluña,ES,5,1,1,Avinyó,2017,12601,32965,23.8,2.2
0801201001,08012,001,01,012,08,09,0801201,08012,Barcelona,Cataluña,ES,5,1,1,Avinyó,2016,12220,32940,25.3,2.2
0801201001,08012,001,01,012,08,09,0801201,08012,Barcelona,Cataluña,ES,5,1,1,Avinyó,2015,12093,31937,24.9,2.2
0801503001,08015,001,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,12833,33047,28,2.5
0801503001,08015,001,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,12244,31700,29.3,2.6
0801503001,08015,001,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,11693,29920,30.8,2.8
0801503001,08015,001,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,11410,29667,31.7,2.7
0800101002,08001,002,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2018,12381,34373,27.1,2.4
0800101002,08001,002,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2017,11975,33018,27.7,2.3
0800101002,08001,002,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2016,11339,32081,28.3,2.6
0800101002,08001,002,01,001,08,09,0800101,08001,Barcelona,Cataluña,ES,5,1,1,Abrera,2015,10999,30408,29.4,2.4
0800601002,08006,002,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,13287,32491,31.1,2.6
